Date,Activity_Score,Region,Treatment_Group,Revenue
01-01-2023,78,North,1,137.02
01-01-2023,83,West,1,135.51
01-01-2023,77,West,1,150.02
01-01-2023,84,South,1,141.26
01-01-2023,44,East,0,126.19
01-01-2023,12,South,0,102.61
01-01-2023,66,North,1,137.47
01-01-2023,83,West,1,139.54
01-01-2023,81,West,1,140.2
01-01-2023,79,West,1,143.35
01-01-2023,64,West,1,127.84
01-01-2023,17,South,0,103.48
01-01-2023,42,North,1,124.26
02-01-2023,36,West,0,116.54
02-01-2023,52,East,1,120.53
02-01-2023,61,West,1,137.88
02-01-2023,44,North,1,129.52
02-01-2023,61,North,0,131.85
02-01-2023,86,North,1,142.96
02-01-2023,85,South,1,143.81
02-01-2023,81,South,1,138.85
02-01-2023,11,North,0,103.87
02-01-2023,66,South,1,128.76
02-01-2023,17,West,0,114.56
02-01-2023,68,West,0,136.59
02-01-2023,10,South,0,101.06
03-01-2023,59,North,1,137.99
03-01-2023,77,East,0,145.49
03-01-2023,41,North,1,117.77
03-01-2023,27,East,0,114.04
03-01-2023,41,West,0,128.87
03-01-2023,27,West,0,112.21
03-01-2023,64,South,1,126.42
03-01-2023,14,North,0,104.14
03-01-2023,67,East,1,131.54
03-01-2023,47,North,1,115.96
03-01-2023,14,East,0,108.84
03-01-2023,62,South,1,133.45
03-01-2023,35,North,0,105.1
03-01-2023,42,South,0,131.61
03-01-2023,25,West,0,107.65
04-01-2023,74,West,1,140.36
04-01-2023,16,North,0,102.28
04-01-2023,76,South,1,147.57
04-01-2023,42,North,0,113.96
04-01-2023,80,West,1,139.67
04-01-2023,34,South,0,120.1
04-01-2023,79,East,1,128.44
04-01-2023,61,North,1,130.38
04-01-2023,30,South,0,110.83
04-01-2023,68,West,1,140.47
04-01-2023,37,West,0,118.51
04-01-2023,85,North,1,151.93
04-01-2023,57,West,1,135.27
04-01-2023,53,East,0,140.55
04-01-2023,55,West,1,126.8
04-01-2023,34,West,0,120.31
05-01-2023,30,West,0,116.46
05-01-2023,22,North,0,115.44
05-01-2023,36,South,0,124.97
05-01-2023,63,North,1,135.62
05-01-2023,64,North,1,126.69
05-01-2023,61,West,1,134.24
05-01-2023,64,East,1,139.57
05-01-2023,47,South,0,125.22
05-01-2023,24,North,0,105.41
05-01-2023,83,East,1,142.86
05-01-2023,75,North,1,144.44
05-01-2023,77,East,1,149.23
05-01-2023,83,East,1,138.57
05-01-2023,14,East,0,106.27
05-01-2023,57,North,1,129.32
05-01-2023,88,East,1,137.75
06-01-2023,84,East,1,140.93
06-01-2023,18,East,0,117.75
06-01-2023,85,West,1,137.85
06-01-2023,82,North,1,142.88
06-01-2023,54,East,0,120.08
06-01-2023,63,South,1,126.04
06-01-2023,34,East,0,116.68
06-01-2023,82,East,1,140.73
06-01-2023,31,North,1,115.38
06-01-2023,59,East,0,131.97
06-01-2023,79,South,0,137.37
06-01-2023,20,West,0,103.16
06-01-2023,70,South,1,138.28
06-01-2023,48,East,0,129.54
06-01-2023,73,West,1,132.08
07-01-2023,79,East,1,137.06
07-01-2023,42,West,1,118.19
07-01-2023,68,North,1,127.23
07-01-2023,59,North,1,139.93
07-01-2023,46,North,0,121.45
07-01-2023,68,North,1,130.58
07-01-2023,34,West,0,118.46
07-01-2023,26,West,0,120.09
07-01-2023,48,West,0,125.62
