Date,Age,Tenure_Months,Region,Device,Got_Promotion,Sales_Amount
2023-01-01,45,23,South,Mobile,0,89.88
2023-01-01,64,33,North,Mobile,1,126.59
2023-01-01,32,9,East,Desktop,1,81.8
2023-01-01,23,8,North,Mobile,0,59.13
2023-01-01,61,36,South,Desktop,1,119.12
2023-01-01,37,30,South,Desktop,1,106.07
2023-01-01,67,32,North,Desktop,1,128.55
2023-01-01,31,10,West,Mobile,1,59.06
2023-01-01,19,9,North,Desktop,1,79.76
2023-01-02,26,19,North,Mobile,0,71.44
2023-01-02,54,12,North,Mobile,1,101.07
2023-01-02,37,1,East,Mobile,0,78.91
2023-01-02,43,15,South,Mobile,1,87.38
2023-01-02,46,10,South,Desktop,0,89.44
2023-01-02,18,3,North,Mobile,0,64.95
2023-01-03,52,24,North,Desktop,1,118.73
2023-01-03,23,6,South,Mobile,0,63.53
2023-01-03,54,41,West,Mobile,1,99.16
2023-01-03,22,14,West,Tablet,0,61.6
2023-01-04,50,28,North,Desktop,1,112.42
2023-01-04,66,39,South,Mobile,1,110.62
2023-01-04,68,22,West,Mobile,1,114.6
2023-01-04,31,25,South,Mobile,0,69.35
2023-01-04,29,13,West,Mobile,0,80.21
2023-01-04,59,36,North,Desktop,1,111.48
2023-01-04,37,7,West,Desktop,0,75.27
2023-01-04,67,17,East,Mobile,1,105.16
2023-01-05,41,28,West,Tablet,0,61.05
2023-01-05,60,33,East,Mobile,1,88.93
2023-01-05,51,16,South,Mobile,1,98.46
2023-01-05,42,12,West,Mobile,0,75.8
2023-01-05,67,44,South,Desktop,1,101.87
2023-01-05,46,11,South,Mobile,0,78.55
2023-01-05,56,44,East,Mobile,1,97.16
2023-01-05,48,14,East,Mobile,0,69.13
2023-01-06,64,38,West,Mobile,1,112.78
2023-01-06,60,26,North,Desktop,1,130.49
2023-01-06,67,39,East,Mobile,1,104.93
2023-01-06,40,14,East,Mobile,1,78.89
2023-01-07,61,28,North,Desktop,0,84.18
2023-01-07,55,27,South,Tablet,1,109.36
2023-01-07,37,8,South,Tablet,0,73.05
2023-01-07,40,27,South,Mobile,1,76.94
2023-01-07,62,25,West,Mobile,1,102.57
2023-01-07,69,32,East,Mobile,1,101.05
2023-01-07,33,6,East,Mobile,0,67.79
2023-01-08,67,7,West,Tablet,1,102.35
2023-01-08,59,27,South,Mobile,1,91.45
2023-01-08,25,36,West,Mobile,0,72.61
2023-01-08,67,41,South,Mobile,1,114.39
2023-01-08,38,18,West,Mobile,1,81.19
2023-01-08,18,6,North,Desktop,0,78.74
2023-01-09,25,12,West,Mobile,1,94.27
2023-01-09,46,28,North,Mobile,0,79.52
2023-01-09,49,12,South,Mobile,1,74.23
2023-01-09,55,38,East,Mobile,1,78.15
2023-01-09,22,18,South,Mobile,0,59.03
2023-01-09,64,39,East,Desktop,1,104.32
2023-01-09,39,23,South,Mobile,1,92.78
2023-01-09,64,32,East,Desktop,1,108.15
2023-01-10,51,32,North,Tablet,0,75.84
2023-01-10,18,14,North,Tablet,0,45.98
2023-01-10,43,17,South,Tablet,1,92.11
2023-01-10,60,24,South,Mobile,1,94.47
2023-01-10,27,14,North,Mobile,0,66.98
2023-01-11,47,38,South,Mobile,1,77.89
2023-01-11,67,21,South,Desktop,1,117.16
2023-01-11,35,2,North,Tablet,1,107.98
2023-01-11,34,18,South,Desktop,0,84.27
2023-01-11,43,22,West,Mobile,0,63.45
2023-01-12,25,14,North,Tablet,0,67.19
2023-01-12,64,34,South,Mobile,1,93.11
2023-01-12,57,26,East,Mobile,1,115.77
2023-01-12,66,47,South,Mobile,1,109.63
2023-01-12,29,1,East,Mobile,1,65.46
2023-01-12,44,13,South,Mobile,1,89.64
2023-01-12,25,11,South,Mobile,0,76.43
2023-01-12,42,4,North,Mobile,1,78.72
2023-01-12,63,29,East,Desktop,1,112.88
2023-01-12,21,27,East,Desktop,0,68.57
2023-01-13,50,25,North,Desktop,1,108.97
2023-01-13,18,11,South,Mobile,0,50.29
2023-01-13,36,5,West,Desktop,1,68.18
2023-01-13,48,17,South,Tablet,0,70.04
2023-01-13,33,12,South,Mobile,1,91.3
2023-01-13,31,12,West,Mobile,0,65.24
2023-01-14,65,45,East,Mobile,1,128.21
2023-01-14,22,16,South,Mobile,1,88.9
2023-01-14,58,17,East,Desktop,1,106.6
2023-01-14,43,23,West,Desktop,1,95.59
2023-01-14,45,27,South,Mobile,1,98.8
2023-01-14,19,20,South,Desktop,0,74.1
2023-01-14,67,49,South,Desktop,1,115.69
2023-01-14,23,1,West,Tablet,0,69.38
2023-01-14,26,4,East,Mobile,0,54.29
2023-01-14,50,12,North,Tablet,1,89.26
2023-01-15,58,26,West,Mobile,1,86.29
2023-01-15,42,25,South,Mobile,1,112.8
2023-01-15,65,42,North,Mobile,1,108.65
2023-01-15,30,14,South,Mobile,0,67.41
2023-01-15,26,9,South,Desktop,1,75.84
2023-01-15,30,16,West,Mobile,0,72.56
2023-01-15,48,15,North,Mobile,1,91.2
2023-01-15,58,49,West,Mobile,1,103.27
2023-01-16,28,1,South,Desktop,1,71.86
2023-01-16,21,12,North,Mobile,0,72.25
2023-01-16,51,45,West,Desktop,1,104.85
2023-01-17,55,27,South,Mobile,1,81.72
2023-01-17,63,29,South,Mobile,1,105.47
2023-01-17,21,6,South,Mobile,0,48.01
2023-01-17,55,25,West,Mobile,1,100.43
2023-01-17,36,31,South,Mobile,0,77.56
2023-01-17,23,1,North,Mobile,0,57.53
2023-01-17,51,40,North,Tablet,1,97.01
2023-01-18,35,3,South,Desktop,1,83.69
2023-01-18,30,12,East,Mobile,0,72.97
2023-01-18,58,24,South,Mobile,1,93.27
2023-01-19,40,25,North,Desktop,1,109.25
2023-01-19,36,2,North,Mobile,0,90.85
2023-01-19,62,35,South,Mobile,1,95.29
2023-01-20,28,34,West,Desktop,0,58.53
2023-01-20,18,1,South,Desktop,0,76.03
2023-01-20,41,22,West,Mobile,1,114.86
2023-01-20,24,5,South,Mobile,1,75.12
2023-01-20,42,25,North,Mobile,0,78.58
2023-01-20,38,19,West,Desktop,1,95.26
2023-01-21,32,9,South,Mobile,1,71.79
2023-01-21,18,13,East,Mobile,0,62.6
2023-01-21,29,32,West,Mobile,0,53.53
2023-01-21,24,10,North,Mobile,0,63.48
2023-01-22,32,23,North,Tablet,0,60.33
2023-01-22,38,6,East,Desktop,1,95.42
2023-01-22,36,8,South,Desktop,1,88.9
2023-01-22,46,27,North,Mobile,1,109.42
2023-01-22,42,35,North,Mobile,1,92.39
2023-01-22,50,28,North,Mobile,1,91.25
2023-01-23,66,29,East,Mobile,0,96.31
2023-01-23,49,24,North,Tablet,0,78.46
2023-01-23,66,20,South,Mobile,1,95.55
2023-01-23,52,32,East,Mobile,0,102.82
2023-01-23,61,39,South,Mobile,0,80.6
2023-01-24,55,22,North,Desktop,1,113.67
2023-01-24,43,16,East,Mobile,1,98.27
2023-01-25,28,16,North,Mobile,0,85.38
2023-01-25,52,21,East,Mobile,0,82.19
2023-01-25,25,11,West,Desktop,0,76.44
2023-01-25,63,52,South,Mobile,1,101.61
2023-01-25,31,13,South,Tablet,0,72.68
2023-01-25,27,9,South,Desktop,0,70.08
2023-01-25,19,3,South,Mobile,0,65.91
2023-01-25,63,38,West,Desktop,1,113.65
2023-01-25,26,11,West,Mobile,0,81.96
2023-01-26,20,3,South,Tablet,0,59.51
2023-01-26,38,32,East,Mobile,0,68.42
2023-01-26,43,35,West,Mobile,0,73.33
2023-01-26,25,6,West,Mobile,0,59.82
2023-01-26,65,13,South,Mobile,1,93.92
2023-01-27,19,19,South,Tablet,0,73.05
2023-01-27,23,4,South,Mobile,0,39.9
2023-01-27,45,30,West,Desktop,1,101.05
2023-01-27,46,3,North,Mobile,0,89.88
2023-01-27,43,30,South,Tablet,0,75.17
2023-01-28,42,8,South,Mobile,1,77.34
2023-01-28,29,21,South,Mobile,1,75.98
2023-01-28,22,11,South,Mobile,0,62.03
2023-01-28,51,15,West,Desktop,1,102.67
2023-01-28,65,28,North,Mobile,1,116.22
2023-01-28,54,33,South,Mobile,0,67.3
2023-01-29,32,17,North,Mobile,1,88.94
2023-01-29,61,36,North,Desktop,1,115.53
2023-01-29,53,46,South,Mobile,1,109.09
2023-01-29,32,1,South,Mobile,1,98.5
2023-01-29,60,46,South,Mobile,1,102.18
2023-01-29,65,33,South,Desktop,1,127.98
2023-01-29,40,11,North,Tablet,0,79.76
2023-01-29,23,1,South,Mobile,0,77.45
2023-01-30,63,29,West,Mobile,1,105.63
2023-01-31,67,42,West,Mobile,1,99.01
2023-01-31,61,29,South,Mobile,1,108.13
2023-02-01,60,45,South,Mobile,0,85.55
2023-02-01,62,16,West,Desktop,1,120.9
2023-02-02,38,18,North,Mobile,0,77.28
2023-02-02,40,7,West,Tablet,1,71.62
2023-02-02,60,33,West,Mobile,1,116.79
2023-02-02,33,25,North,Desktop,1,98.48
2023-02-03,64,27,North,Mobile,1,118.35
2023-02-03,32,1,West,Mobile,0,68.67
2023-02-03,42,22,South,Mobile,0,93.04
2023-02-03,53,30,North,Mobile,1,104.04
2023-02-03,28,18,South,Mobile,1,75.57
2023-02-03,68,46,South,Desktop,1,136.57
2023-02-04,32,5,East,Tablet,1,81.58
2023-02-04,21,17,East,Mobile,0,79.42
2023-02-04,38,30,West,Mobile,0,87.81
2023-02-04,30,1,South,Mobile,1,75.68
2023-02-04,39,22,South,Mobile,0,53.65
2023-02-04,36,12,South,Mobile,0,63.64
2023-02-04,51,24,South,Desktop,1,107.52
2023-02-05,31,18,North,Tablet,1,102.4
2023-02-05,21,5,West,Tablet,0,83.28
2023-02-05,65,25,West,Mobile,1,99.61
2023-02-05,69,34,South,Desktop,1,122.89
2023-02-05,63,20,East,Desktop,1,112.26
2023-02-05,44,11,North,Mobile,0,92.1
2023-02-06,46,29,South,Mobile,1,104.34
2023-02-06,64,20,East,Desktop,1,95.35
2023-02-06,45,29,South,Mobile,1,97.17
2023-02-06,52,30,West,Mobile,1,84.38
2023-02-06,25,1,East,Mobile,0,58.34
2023-02-06,33,9,South,Mobile,1,89.42
2023-02-07,59,41,East,Mobile,1,105.47
2023-02-07,53,16,North,Tablet,1,110.79
2023-02-07,47,18,South,Desktop,0,91.55
2023-02-07,35,22,South,Desktop,0,68.27
2023-02-07,19,17,South,Mobile,0,37.02
2023-02-07,66,30,East,Desktop,1,111.6
2023-02-08,30,9,South,Mobile,0,69.37
2023-02-08,21,24,East,Mobile,0,55.91
2023-02-08,43,38,South,Mobile,0,61.22
2023-02-08,42,30,South,Mobile,1,80.92
2023-02-08,47,24,West,Mobile,0,69.7
2023-02-08,28,5,North,Mobile,0,83.2
2023-02-08,24,3,North,Mobile,0,72.26
2023-02-08,48,29,South,Mobile,1,102.76
2023-02-08,61,34,South,Tablet,1,95.76
2023-02-08,27,27,North,Mobile,0,87.32
2023-02-08,56,34,East,Desktop,1,110.89
2023-02-08,30,1,South,Mobile,1,95.14
2023-02-08,48,34,South,Mobile,0,77.52
2023-02-09,24,2,West,Tablet,0,66.03
2023-02-09,66,29,South,Mobile,1,108.58
2023-02-09,59,32,West,Mobile,1,95.33
2023-02-09,59,49,North,Desktop,0,101.16
2023-02-09,53,57,South,Mobile,0,88.37
2023-02-09,37,24,West,Desktop,1,94.85
2023-02-09,21,8,South,Mobile,0,55.26
2023-02-10,24,17,East,Mobile,0,60.72
